q1_2,q2_4,q3_3,q4_6,q5_3,q6_3,q7_7,32408
q1_7,q2_7,q3_3,q4_1,q5_1,q6_7,q7_5,29063
q1_7,q2_1,q3_7,q4_1,q5_1,q6_7,q7_1,25360
q1_4,q2_1,q3_1,q4_2,q5_4,q6_7,q7_4,42800
q1_1,q2_3,q3_1,q4_1,q5_7,q6_5,q7_7,34919
q1_1,q2_1,q3_7,q4_7,q5_7,q6_1,q7_3,27008
q1_1,q2_1,q3_6,q4_1,q5_7,q6_1,q7_7,25448
q1_1,q2_7,q3_7,q4_1,q5_1,q6_5,q7_7,32856
q1_1,q2_7,q3_7,q4_1,q5_1,q6_5,q7_7,27887
