q1_1,q2_2,q3_1,q4_5,q5_1,q6_1,q7_6,23185
q1_2,q2_1,q3_1,q4_2,q5_1,q6_1,q7_2,23359
q1_1,q2_1,q3_5,q4_1,q5_3,q6_1,q7_1,16065
q1_1,q2_1,q3_2,q4_2,q5_1,q6_6,q7_1,23671
q1_1,q2_1,q3_1,q4_1,q5_7,q6_5,q7_7,27559
q1_1,q2_2,q3_3,q4_6,q5_7,q6_1,q7_1,32040
q1_1,q2_1,q3_3,q4_1,q5_6,q6_2,q7_3,37305
q1_1,q2_6,q3_4,q4_1,q5_1,q6_1,q7_7,32287
q1_1,q2_6,q3_4,q4_1,q5_1,q6_1,q7_7,1224
