q1_2,q2_1,q3_2,q4_2,q5_1,q6_1,q7_5,40504
q1_6,q2_2,q3_2,q4_1,q5_2,q6_6,q7_3,35970
q1_7,q2_2,q3_1,q4_1,q5_1,q6_7,q7_6,44831
q1_4,q2_1,q3_6,q4_1,q5_3,q6_6,q7_7,40496
q1_6,q2_1,q3_1,q4_1,q5_1,q6_2,q7_7,27973
q1_1,q2_1,q3_2,q4_7,q5_6,q6_1,q7_1,36964
q1_1,q2_1,q3_3,q4_1,q5_3,q6_1,q7_2,28111
q1_1,q2_2,q3_7,q4_1,q5_1,q6_1,q7_7,31064
q1_1,q2_2,q3_7,q4_1,q5_1,q6_1,q7_7,27010
