q1_2,q2_5,q3_2,q4_4,q5_1,q6_1,q7_6,26759
q1_7,q2_3,q3_1,q4_1,q5_1,q6_4,q7_7,24215
q1_7,q2_1,q3_5,q4_1,q5_1,q6_5,q7_2,24440
q1_1,q2_1,q3_1,q4_1,q5_1,q6_4,q7_5,31705
q1_7,q2_1,q3_1,q4_1,q5_1,q6_5,q7_6,18552
q1_1,q2_1,q3_3,q4_7,q5_1,q6_1,q7_1,21016
q1_1,q2_1,q3_3,q4_1,q5_7,q6_6,q7_6,23055
q1_1,q2_7,q3_6,q4_3,q5_1,q6_5,q7_7,43193
q1_1,q2_7,q3_6,q4_3,q5_1,q6_5,q7_7,19328
