q1_3,q2_6,q3_1,q4_2,q5_1,q6_1,q7_7,47561
q1_1,q2_2,q3_4,q4_7,q5_2,q6_2,q7_2,56400
q1_7,q2_1,q3_7,q4_1,q5_1,q6_7,q7_1,25767
q1_5,q2_1,q3_6,q4_3,q5_1,q6_6,q7_6,32160
q1_7,q2_5,q3_1,q4_1,q5_1,q6_5,q7_7,42120
q1_2,q2_1,q3_1,q4_7,q5_7,q6_1,q7_1,30312
q1_2,q2_2,q3_1,q4_1,q5_3,q6_1,q7_7,60624
q1_1,q2_7,q3_7,q4_1,q5_1,q6_1,q7_7,40392
q1_1,q2_7,q3_7,q4_1,q5_1,q6_1,q7_7,4168
