q1_3,q2_3,q3_1,q4_3,q5_1,q6_1,q7_6,50368
q1_7,q2_5,q3_5,q4_1,q5_1,q6_1,q7_1,44216
q1_7,q2_1,q3_2,q4_1,q5_1,q6_5,q7_1,27904
q1_1,q2_1,q3_7,q4_4,q5_1,q6_1,q7_6,49527
q1_5,q2_1,q3_1,q4_1,q5_1,q6_2,q7_7,35808
q1_7,q2_1,q3_6,q4_3,q5_7,q6_1,q7_1,65960
q1_1,q2_1,q3_3,q4_1,q5_7,q6_7,q7_4,47440
q1_1,q2_7,q3_6,q4_7,q5_1,q6_1,q7_1,41240
q1_1,q2_7,q3_6,q4_7,q5_1,q6_1,q7_1,1664
