q1_1,q2_6,q3_3,q4_3,q5_2,q6_2,q7_5,54660
q1_6,q2_4,q3_5,q4_1,q5_1,q6_3,q7_2,36805
q1_2,q2_1,q3_2,q4_1,q5_1,q6_4,q7_3,44464
q1_2,q2_1,q3_2,q4_2,q5_2,q6_1,q7_1,39320
q1_2,q2_1,q3_2,q4_1,q5_1,q6_4,q7_5,48489
q1_5,q2_2,q3_2,q4_3,q5_7,q6_1,q7_1,45271
q1_2,q2_1,q3_3,q4_2,q5_7,q6_6,q7_2,41488
q1_1,q2_5,q3_4,q4_4,q5_1,q6_1,q7_1,39952
q1_1,q2_5,q3_4,q4_4,q5_1,q6_1,q7_1,5346
