q1_3,q2_2,q3_1,q4_6,q5_5,q6_1,q7_7,44633
q1_7,q2_3,q3_3,q4_1,q5_1,q6_2,q7_3,52054
q1_6,q2_1,q3_2,q4_4,q5_1,q6_7,q7_6,33896
q1_7,q2_1,q3_2,q4_3,q5_4,q6_4,q7_5,48024
q1_7,q2_1,q3_3,q4_1,q5_1,q6_6,q7_6,24272
q1_6,q2_5,q3_6,q4_2,q5_7,q6_2,q7_1,53216
q1_2,q2_4,q3_1,q4_4,q5_7,q6_1,q7_5,49784
q1_2,q2_6,q3_6,q4_1,q5_1,q6_1,q7_7,53816
q1_2,q2_6,q3_6,q4_1,q5_1,q6_1,q7_7,1768
