q1_2,q2_5,q3_1,q4_3,q5_1,q6_1,q7_6,28798
q1_4,q2_3,q3_1,q4_4,q5_4,q6_1,q7_6,27828
q1_7,q2_6,q3_6,q4_1,q5_1,q6_5,q7_6,45080
q1_5,q2_1,q3_6,q4_1,q5_1,q6_5,q7_6,26528
q1_7,q2_1,q3_3,q4_1,q5_1,q6_6,q7_6,26444
q1_1,q2_1,q3_7,q4_4,q5_6,q6_1,q7_1,23189
q1_1,q2_6,q3_1,q4_1,q5_7,q6_7,q7_7,18480
q1_1,q2_3,q3_2,q4_6,q5_1,q6_6,q7_1,29472
q1_1,q2_3,q3_2,q4_6,q5_1,q6_6,q7_1,1412
