q1_7,q2_1,q3_2,q4_3,q5_5,q6_1,q7_6,43277
q1_1,q2_7,q3_1,q4_7,q5_1,q6_1,q7_3,38843
q1_1,q2_1,q3_2,q4_1,q5_1,q6_2,q7_2,34072
q1_1,q2_1,q3_1,q4_3,q5_1,q6_1,q7_7,31320
q1_1,q2_1,q3_1,q4_1,q5_1,q6_5,q7_7,29611
q1_4,q2_1,q3_1,q4_4,q5_2,q6_1,q7_1,28621
q1_1,q2_4,q3_5,q4_2,q5_1,q6_7,q7_2,39151
q1_1,q2_4,q3_1,q4_1,q5_1,q6_1,q7_6,54433
q1_1,q2_4,q3_1,q4_1,q5_1,q6_1,q7_6,5324
