q1_4,q2_2,q3_4,q4_6,q5_5,q6_1,q7_6,56720
q1_7,q2_5,q3_4,q4_2,q5_1,q6_1,q7_1,30583
q1_7,q2_5,q3_1,q4_1,q5_1,q6_1,q7_4,67520
q1_1,q2_1,q3_4,q4_1,q5_1,q6_1,q7_5,35624
q1_5,q2_2,q3_1,q4_1,q5_3,q6_4,q7_2,34584
q1_1,q2_1,q3_3,q4_7,q5_1,q6_1,q7_1,37088
q1_1,q2_1,q3_3,q4_3,q5_1,q6_5,q7_6,60448
q1_2,q2_1,q3_3,q4_4,q5_1,q6_1,q7_4,60424
q1_2,q2_1,q3_3,q4_4,q5_1,q6_1,q7_4,1592
