pic,value,key,,,,,,,,,
Ake_1_seq_2,9,14,,,,,,,,,
Finger_1_seq_2,7,14,,,,,,,,,
Gac_1_seq_2,9,14,,,,,,,,,
Noni_1_seq_2,2,14,,,,,,,,,
Sapota_1_seq_2,14,14,,,,,,,,,
Tamanid_1_seq_2,13,14,,,,,,,,,
ZF_1_seq_2,9,14,,,,,,,,,
Ackee_1_seq_4,13,14,,,,,,,,,
Ake_1_seq_4,9,14,,,,,,,,,
Finger_1_seq_4,7,14,,,,,,,,,
Gac_1_seq_4,9,14,,,,,,,,,
Noni_1_seq_4,2,14,,,,,,,,,
Sapota_1_seq_4,14,14,,,,,,,,,
Tamanid_1_seq_4,13,14,,,,,,,,,
ZF_1_seq_4,9,14,,,,,,,,,
Ackee_1_seq_6,13,14,,,,,,,,,
Ake_1_seq_6,9,14,,,,,,,,,
Finger_1_seq_6,7,14,,,,,,,,,
Gac_1_seq_6,9,14,,,,,,,,,
Noni_1_seq_6,2,14,,,,,,,,,
Sapota_1_seq_6,14,14,,,,,,,,,
Tamanid_1_seq_6,13,14,,,,,,,,,
ZF_1_seq_6,9,14,,,,,,,,,
Ackee_1_seq_8,13,14,,,,,,,,,
Ake_1_seq_8,9,14,,,,,,,,,
Finger_1_seq_8,7,14,,,,,,,,,
Gac_1_seq_8,9,14,,,,,,,,,
Noni_1_seq_8,2,14,,,,,,,,,
Sapota_1_seq_8,14,14,,,,,,,,,
Tamanid_1_seq_8,13,14,,,,,,,,,
ZF_1_seq_8,9,14,,,,,,,,,
Ackee_1_seq_10,13,14,,,,,,,,,
Ake_1_seq_10,9,14,,,,,,,,,
Finger_1_seq_10,7,14,,,,,,,,,
Gac_1_seq_10,9,14,,,,,,,,,
Noni_1_seq_10,2,14,,,,,,,,,
Sapota_1_seq_10,14,14,,,,,,,,,
Tamanid_1_seq_10,13,14,,,,,,,,,
ZF_1_seq_10,9,14,,,,,,,,,
Ackee_1_seq_12,13,14,,,,,,,,,
Ake_1_seq_12,9,14,,,,,,,,,
Finger_1_seq_12,7,14,,,,,,,,,
Gac_1_seq_12,9,14,,,,,,,,,
Noni_1_seq_12,2,14,,,,,,,,,
Sapota_1_seq_12,14,14,,,,,,,,,
Tamanid_1_seq_12,13,14,,,,,,,,,
ZF_1_seq_12,9,14,,,,,,,,,
Ackee_1_seq_14,13,14,,,,,,,,,
Ake_1_seq_14,9,14,,,,,,,,,
Finger_1_seq_14,7,14,,,,,,,,,
Gac_1_seq_14,9,14,,,,,,,,,
Noni_1_seq_14,2,14,,,,,,,,,
Sapota_1_seq_14,14,14,,,,,,,,,
Tamanid_1_seq_14,13,14,,,,,,,,,
ZF_1_seq_14,9,14,,,,,,,,,
Ackee_1_seq_16,13,14,,,,,,,,,
Ake_1_seq_16,9,14,,,,,,,,,
Finger_1_seq_16,7,14,,,,,,,,,
Gac_1_seq_16,9,14,,,,,,,,,
Noni_1_seq_16,2,14,,,,,,,,,
Sapota_1_seq_16,14,14,,,,,,,,,
Tamanid_1_seq_16,13,14,,,,,,,,,
ZF_1_seq_16,9,14,,,,,,,,,
Ackee_1_seq_18,13,14,,,,,,,,,
Ake_1_seq_18,9,14,,,,,,,,,
Finger_1_seq_18,7,14,,,,,,,,,
Gac_1_seq_18,9,14,,,,,,,,,
Noni_1_seq_18,2,14,,,,,,,,,
Sapota_1_seq_18,14,14,,,,,,,,,
Tamanid_1_seq_18,13,14,,,,,,,,,
ZF_1_seq_18,9,14,,,,,,,,,
Ackee_1_seq_20,13,14,,,,,,,,,
Ake_1_seq_20,9,14,,,,,,,,,
Finger_1_seq_20,7,14,,,,,,,,,
Gac_1_seq_20,9,14,,,,,,,,,
Noni_1_seq_20,2,14,,,,,,,,,
Sapota_1_seq_20,14,14,,,,,,,,,
Tamanid_1_seq_20,13,14,,,,,,,,,
ZF_1_seq_20,9,14,,,,,,,,,
Ackee_1_seq_22,13,14,,,,,,,,,
Ake_1_seq_22,9,14,,,,,,,,,
Finger_1_seq_22,7,14,,,,,,,,,
Gac_1_seq_22,9,14,,,,,,,,,
Noni_1_seq_22,2,14,,,,,,,,,
Sapota_1_seq_22,14,14,,,,,,,,,
Tamanid_1_seq_22,13,14,,,,,,,,,
ZF_1_seq_22,9,14,,,,,,,,,
Ackee_1_seq_24,13,14,,,,,,,,,
Ake_1_seq_24,9,14,,,,,,,,,
Finger_1_seq_24,7,14,,,,,,,,,
Gac_1_seq_24,9,14,,,,,,,,,
Noni_1_seq_24,2,14,,,,,,,,,
Sapota_1_seq_24,14,14,,,,,,,,,
Tamanid_1_seq_24,13,14,,,,,,,,,
ZF_1_seq_24,9,14,,,,,,,,,
Ackee_1_seq_26,13,14,,,,,,,,,
Ake_1_seq_26,9,14,,,,,,,,,
Finger_1_seq_26,7,14,,,,,,,,,
Gac_1_seq_26,9,14,,,,,,,,,
Noni_1_seq_26,2,14,,,,,,,,,
Sapota_1_seq_26,14,14,,,,,,,,,
Tamanid_1_seq_26,13,14,,,,,,,,,
ZF_1_seq_26,9,14,,,,,,,,,
Ackee_1_seq_28,13,14,,,,,,,,,
Ake_1_seq_28,9,14,,,,,,,,,
Finger_1_seq_28,7,14,,,,,,,,,
Gac_1_seq_28,9,14,,,,,,,,,
Noni_1_seq_28,2,14,,,,,,,,,
Sapota_1_seq_28,14,14,,,,,,,,,
Tamanid_1_seq_28,13,14,,,,,,,,,
ZF_1_seq_28,9,14,,,,,,,,,
Ackee_1_seq_30,13,14,,,,,,,,,
Ake_1_seq_30,9,14,,,,,,,,,
Finger_1_seq_30,7,14,,,,,,,,,
Gac_1_seq_30,9,14,,,,,,,,,
Noni_1_seq_30,2,14,,,,,,,,,
Sapota_1_seq_30,14,14,,,,,,,,,
Tamanid_1_seq_30,13,14,,,,,,,,,
ZF_1_seq_30,9,14,,,,,,,,,
Ackee_1_seq_32,13,14,,,,,,,,,
Ake_1_seq_32,9,14,,,,,,,,,
Finger_1_seq_32,7,14,,,,,,,,,
Gac_1_seq_32,9,14,,,,,,,,,
Noni_1_seq_32,2,14,,,,,,,,,
Sapota_1_seq_32,14,14,,,,,,,,,
Tamanid_1_seq_32,13,14,,,,,,,,,
