,count,mean,std,min,25%,50%,75%,max,name
0,115936.0,107.40722795335357,44.3268708824748,1.47,71.50999999999999,104.47,138.42,254.99999999999997,data/FIN_Известные/Kokos_6.png
1,105667.0,82.8982025608752,46.30214811327221,0.0,49.699999999999996,75.91,108.41999999999999,254.99999999999997,data/FIN_Известные/Kokos_7.png
2,92724.0,137.04440295932014,75.96584934760888,12.36,47.7575,195.23999999999998,205.65,206.0,data/FIN_Известные/Redis_4c.png
3,43053.0,167.86371844006226,25.92888512847661,10.29,153.12,165.98999999999998,185.91,226.0,data/FIN_Известные/Banan_3а.png
4,80108.0,121.88191491486492,33.319230166765024,7.829999999999999,101.00999999999999,120.75,151.16,184.99999999999997,data/FIN_Известные/Peper_5b.png
5,107748.0,123.01012789100496,34.85592829714459,1.89,98.33,120.87,146.13,254.99999999999997,data/FIN_Известные/Kokos_1.png
6,73184.0,129.15087109204197,55.30640589623322,19.95,63.790000000000006,158.10999999999999,169.85,229.80999999999997,data/FIN_Известные/Redis_5c.png
7,114334.0,121.91331659873704,74.379179964668,0.0,47.699999999999996,138.04000000000002,180.95,254.99999999999997,data/FIN_Известные/Kokos_3.png
8,42469.0,140.57544609008926,21.01767388493391,11.229999999999999,133.23000000000002,135.88,143.09,198.0,data/FIN_Известные/Banan_1b.png
9,75782.0,111.38240070201367,31.810348081537185,5.95,87.4225,105.34,126.11999999999999,243.93,data/FIN_Известные/Peper_6.png
10,27239.0,97.34591908660377,49.2023542775142,30.639999999999997,55.73,81.97999999999999,127.185,254.99999999999997,data/FIN_Известные/Redis_8.png
11,30949.0,170.67558661022971,35.43376251298172,0.0,151.78999999999996,176.19,199.57,221.79000000000002,data/FIN_Известные/Banan_5а.png
12,94839.0,111.52241229873785,30.945310459805462,12.79,90.74,109.33999999999999,127.11999999999999,251.3,data/FIN_Известные/Peper_7.png
13,31677.0,142.46086245540926,39.19803324529444,31.69,114.59,142.72,171.86999999999998,254.99999999999997,data/FIN_Известные/Goroh_8.png
14,34874.0,161.30143774731891,19.184735165646746,5.3100000000000005,149.98999999999998,157.2,169.30999999999997,221.0,data/FIN_Известные/Banan_6b.png
15,76949.0,148.46384787326673,42.556961569391945,36.43,116.82999999999998,139.85,173.87,254.99999999999997,data/FIN_Известные/Peper_4.png
16,32293.0,167.38969869631188,27.323838364048342,15.54,149.54000000000002,176.47,189.92999999999998,224.09,data/FIN_Известные/Banan_8а.png
