ZF_1_seq_4,9,10,20,23
Ackee_1_seq_6,13,12,25,30
Ake_1_seq_6,9,17,27,28
Finger_1_seq_6,7,12,32,35
Gac_1_seq_6,9,10,20,23
Noni_1_seq_6,2,4,32,34
Sapota_1_seq_6,14,10,20,23
Tamanid_1_seq_6,13,4,19,34
ZF_1_seq_6,9,10,20,23
Ackee_1_seq_8,13,12,25,30
Ake_1_seq_8,9,17,27,28
Finger_1_seq_8,7,12,32,35
Gac_1_seq_8,9,10,20,23
Noni_1_seq_8,2,4,32,34
Sapota_1_seq_8,14,10,20,23
Tamanid_1_seq_8,13,4,19,34
ZF_1_seq_8,9,10,20,23
Ackee_1_seq_10,13,12,25,30
Ake_1_seq_10,9,17,27,28
Finger_1_seq_10,7,12,32,35
Gac_1_seq_10,9,10,20,23
Noni_1_seq_10,2,4,32,34
Sapota_1_seq_10,14,10,20,23
Tamanid_1_seq_10,13,4,19,34
ZF_1_seq_10,9,10,20,23
Ackee_1_seq_12,13,12,25,30
Ake_1_seq_12,9,17,27,28
Finger_1_seq_12,7,12,32,35
Gac_1_seq_12,9,10,20,23
Noni_1_seq_12,2,4,32,34
Sapota_1_seq_12,14,10,20,23
Tamanid_1_seq_12,13,4,19,34
ZF_1_seq_12,9,10,20,23
Ackee_1_seq_14,13,12,25,30
Ake_1_seq_14,9,17,27,28
Finger_1_seq_14,7,12,32,35
Gac_1_seq_14,9,10,20,23
Noni_1_seq_14,2,4,32,34
Sapota_1_seq_14,14,10,20,23
Tamanid_1_seq_14,13,4,19,34
ZF_1_seq_14,9,10,20,23
Ackee_1_seq_16,13,12,25,30
Ake_1_seq_16,9,17,27,28
Finger_1_seq_16,7,12,32,35
Gac_1_seq_16,9,10,20,23
Noni_1_seq_16,2,4,32,34
Sapota_1_seq_16,14,10,20,23
Tamanid_1_seq_16,13,4,19,34
ZF_1_seq_16,9,10,20,23
Ackee_1_seq_18,13,12,25,30
Ake_1_seq_18,9,17,27,28
Finger_1_seq_18,7,12,32,35
Gac_1_seq_18,9,10,20,23
Noni_1_seq_18,2,4,32,34
Sapota_1_seq_18,14,10,20,23
Tamanid_1_seq_18,13,4,19,34
ZF_1_seq_18,9,10,20,23
Ackee_1_seq_20,13,12,25,30
Ake_1_seq_20,9,17,27,28
Finger_1_seq_20,7,12,32,35
Gac_1_seq_20,9,10,20,23
Noni_1_seq_20,2,4,32,34
Sapota_1_seq_20,14,10,20,23
Tamanid_1_seq_20,13,4,19,34
ZF_1_seq_20,9,10,20,23
Ackee_1_seq_22,13,12,25,30
Ake_1_seq_22,9,17,27,28
Finger_1_seq_22,7,12,32,35
Gac_1_seq_22,9,10,20,23
Noni_1_seq_22,2,4,32,34
Sapota_1_seq_22,14,10,20,23
Tamanid_1_seq_22,13,4,19,34
ZF_1_seq_22,9,10,20,23
Ackee_1_seq_24,13,12,25,30
Ake_1_seq_24,9,17,27,28
Finger_1_seq_24,7,12,32,35
Gac_1_seq_24,9,10,20,23
Noni_1_seq_24,2,4,32,34
Sapota_1_seq_24,14,10,20,23
Tamanid_1_seq_24,13,4,19,34
ZF_1_seq_24,9,10,20,23
Ackee_1_seq_26,13,12,25,30
Ake_1_seq_26,9,17,27,28
Finger_1_seq_26,7,12,32,35
Gac_1_seq_26,9,10,20,23
Noni_1_seq_26,2,4,32,34
Sapota_1_seq_26,14,10,20,23
Tamanid_1_seq_26,13,4,19,34
ZF_1_seq_26,9,10,20,23
Ackee_1_seq_28,13,12,25,30
Ake_1_seq_28,9,17,27,28
Finger_1_seq_28,7,12,32,35
Gac_1_seq_28,9,10,20,23
Noni_1_seq_28,2,4,32,34
Sapota_1_seq_28,14,10,20,23
Tamanid_1_seq_28,13,4,19,34
ZF_1_seq_28,9,10,20,23
Ackee_1_seq_30,13,12,25,30
Ake_1_seq_30,9,17,27,28
Finger_1_seq_30,7,12,32,35
Gac_1_seq_30,9,10,20,23
Noni_1_seq_30,2,4,32,34
Sapota_1_seq_30,14,10,20,23
Tamanid_1_seq_30,13,4,19,34
ZF_1_seq_30,9,10,20,23
Ackee_1_seq_32,13,12,25,30
Ake_1_seq_32,9,17,27,28
Finger_1_seq_32,7,12,32,35
Gac_1_seq_32,9,10,20,23
Noni_1_seq_32,2,4,32,34
Sapota_1_seq_32,14,10,20,23
Tamanid_1_seq_32,13,4,19,34
ZF_1_seq_32,9,10,20,23
