,Session_Name_,Trial_Index_,Trial_Recycled_,block_number,pic_1,pic_type1_1,expected,pic_search_1,TRIAL_INDEX,RESPONSE,KEYPRESS,RT,DISPLAY_ON_TIME,KEY_RESPONSE_TIME,seq,presenting_type,prop_presentation
28,D260722,29,False,0,Finger_1.jpg,0,w,Finger_1_15.png,29,correct,w,931,300066.32,300997.71,3,17,15
29,D260722,30,False,0,Sapota_1.jpg,0,q,Sapota_1_14.png,30,correct,q,1977,306940.36,308918.35,3,16,14
30,D260722,31,False,0,Noni_1.jpg,0,s,Noni_1_17.png,31,correct,s,1397,314864.97,316262.54,3,15,17
31,D260722,32,False,0,Ake_1.jpg,0,q,Ake_1_14.png,32,correct,q,804,322209.22,323013.8,3,16,14
0,D150922,1,False,0,Gac_1.jpg,0,s,Gac_1_17.png,1,correct,s,1196,92456.46,93652.76,32,17,17
1,D150922,2,False,0,ZF_1.jpg,0,s,ZF_1_17.png,2,correct,s,906,99610.6,100516.99,32,17,17
2,D150922,3,False,0,Ackee_1.jpg,0,q,Ackee_1_14.png,3,correct,q,3267,106464.57,109731.83,32,14,14
3,D150922,4,False,0,Noni_1.jpg,0,q,Noni_1_14.png,4,correct,q,1974,115709.97,117684.14,32,14,14
4,D150922,5,False,0,Sapota_1.jpg,0,w,Sapota_1_15.png,5,correct,w,1873,123634.63,125507.85,32,15,15
5,D150922,6,False,0,Ake_1.jpg,0,w,Ake_1_15.png,6,correct,w,1396,131489.2,132885.29,32,15,15
6,D150922,7,False,0,Tamanid_1.jpg,0,a,Tamanid_1_16.png,7,correct,a,1443,138833.45,140276.66,32,16,16
7,D150922,8,False,0,Finger_1.jpg,0,a,Finger_1_16.png,8,correct,a,1361,146257.8,147619.63,32,16,16
8,D150922,9,False,0,Ake_1.jpg,0,a,Ake_1_16.png,9,correct,a,1930,153562.05,155492.35,32,15,16
9,D150922,10,False,0,Tamanid_1.jpg,0,s,Tamanid_1_17.png,10,correct,s,2186,161466.68,163652.9,32,16,17
10,D150922,11,False,0,Ackee_1.jpg,0,w,Ackee_1_15.png,11,correct,w,1379,169601.42,170980.81,32,14,15
11,D150922,12,False,0,Sapota_1.jpg,0,a,Sapota_1_16.png,12,correct,a,1118,176965.65,178084.38,32,15,16
12,D150922,13,False,0,Gac_1.jpg,0,q,Gac_1_14.png,13,correct,q,950,184029.82,184980.23,32,17,14
13,D150922,14,False,0,ZF_1.jpg,0,q,ZF_1_14.png,14,correct,q,903,190923.79,191827.44,32,17,14
14,D150922,15,False,0,Noni_1.jpg,0,w,Noni_1_15.png,15,correct,w,2364,197767.83,200132.31,32,14,15
